,Sentiment,SentimentText
0,1,The Da Vinci Code book is just awesome.
1,1,"this was the first clive cussler i've ever read, but even books like Relic, and Da Vinci code were more plausible than this."
2,1,i liked the Da Vinci Code a lot.
3,1,i liked the Da Vinci Code a lot.
4,1,I liked the Da Vinci Code but it ultimatly didn't seem to hold it's own.
5,1,"that's not even an exaggeration ) and at midnight we went to Wal-Mart to buy the Da Vinci Code, which is amazing of course."
6,1,"I loved the Da Vinci Code, but now I want something better and different!.."
7,1,"i thought da vinci code was great, same with kite runner."
8,1,The Da Vinci Code is actually a good movie...
9,1,I thought the Da Vinci Code was a pretty good book.
10,1,The Da Vinci Code is one of the most beautiful movies ive ever seen.
11,1,"The Da Vinci Code is an * amazing * book, do not get me wrong."
12,1,then I turn on the light and the radio and enjoy my Da Vinci Code.
13,1,The Da Vinci Code was REALLY good.
14,1,i love da vinci code....
15,1,i loved da vinci code..
16,1,TO NIGHT:: THE DA VINCI CODE AND A BEAUTIFUL MIND...
17,1,THE DA VINCI CODE is AN AWESOME BOOK....
18,1,"Thing is, I enjoyed The Da Vinci Code."
19,1,very da vinci code slash amazing race.
20,1,Hey I loved The Da Vinci Code!..
21,1,also loved the da vinci code..
22,1,I really enjoyed the Da Vinci Code but thought I would be disappointed in the other books & # 8230;.
23,1,I do like Angels and Demons more then The Da Vinci Code.
24,1,The Da Vinci Code was a really good movie.
25,1,"yeah, da vinci code is an awesome movie i liked it pretty interesting."
26,1,I really like The Da Vinci Code.
27,1,Da Vinci Code is amazing.
28,1,The Da Vinci Code was awesome...
29,1,"The Da Vinci Code's backtory on various religious historical figures and such were interesting at times, but I'm more of scifi girl at heart."
30,1,Book ( s ): I love The Da Vinci Code..
31,1,"And then we went to see The Da Vinci Code, which was CRAZY awesome and Ian McKellen is my old, gay husband."
32,1,""" Now some people will say to me, Joe, I liked the Da Vinci code, you're being too hard on Dan Brown."
33,1,I love the da vinci code...
34,1,Well I did enjoy Bridget Jones and I loved the Da Vinci Code so this idea appeals to me and it takes Chick Lit into one of the few arenas that the genre has yet to explore...
35,1,I just read Da Vinci Code ( which was AWESOME by the way )  .
36,1,"The Da Vinci Code is excellent if you read it as normal as you read other novels,,,.."
37,1,I loved the Da Vinci Code!
38,1,I love reading The Da Vinci Code!!!!
39,1,"I'm telling you, the Da Vinci Code is an AWESOME book!"
40,1,"Then again, my opinion may be a bit biased because I loved the Da Vinci Code soundtrack. )."
41,1,"And I was quite pleased with my own open-mindedness, after having loved The Da Vinci Code so much, that I was able to get equal enjoyment "" seeing how the other side reads."
42,1,I love the Da Vinci Code.
43,1,Da Vinci code is awesome!
44,1,The Da Vinci Code is awesome.
45,1,The Da Vinci Code is SUCH an awesome book!
46,1,I LOVE THE DA VINCI CODE...
